account_origin,amount_received
10042B660,10002.8
10042B660,10002.8
10042B660,10002.8
10042B660,10002.8
10042B660,10002.8
10042B660,10008.92
10042B660,10008.92
10042B660,10008.92
10042B660,10008.92
10042B660,10008.92
10042B660,1000891.5
10042B660,1000891.5
10042B660,1000891.5
10042B660,1000891.5
10042B660,1000891.5
10042B660,1002096.32
10042B660,10021.16
10042B660,1002459.84
10042B660,10026.48
10042B660,10028.54
10042B660,10029.88
10042B660,10029.88
10042B660,10029.88
10042B660,10040.8
10042B660,10040.94
10042B660,10040.94
10042B660,10040.94
10042B660,10040.94
10042B660,10040.94
10042B660,1004184.68
10042B660,1004184.68
10042B660,1004184.68
10042B660,1004184.68
10042B660,1004184.68
10042B660,10044.88
10042B660,1004466.19
10042B660,1004466.19
10042B660,1004466.19
10042B660,10045.64
10042B660,10049.49
10042B660,10049.49
10042B660,10049.49
10042B660,10052.34
10042B660,10058.27
10042B660,1006350.6
10042B660,1006350.6
10042B660,1006350.6
10042B660,100635072.9
10042B660,100635072.9
10042B660,100635072.9
10042B660,100635072.9
10042B660,100635072.9
10042B660,1006439.56
10042B660,10067.91
10042B660,10067.91
10042B660,10067.91
10042B660,10069.35
10042B660,10069.35
10042B660,10069.35
10042B660,1007064.0
10042B660,1007064.0
10042B660,1007064.0
10042B660,10071.58
10042B660,10072.21
10042B660,1007354.32
10042B660,1007354.32
10042B660,1007354.32
10042B660,10084.18
10042B660,10089.15
10042B660,10089.15
10042B660,10089.15
10042B660,10093.18
10042B660,10093007.01
10042B660,10093007.01
10042B660,10093007.01
10042B660,10093007.01
10042B660,10093007.01
10042B660,10102.69
10042B660,10102.69
10042B660,10102.69
10042B660,10102.69
10042B660,10102.69
10042B660,10110.48
10042B660,10112.37
10042B660,10113.44
10042B660,1011844737.23
10042B660,10120.35
10042B660,10123267.45
10042B660,10125.83
10042B660,10128.47
10042B660,1013062.48
10042B660,1014128.79
10042B660,10149.94
10042B660,10150.07
10042B660,10150.07
10042B660,10150.07
10042B660,10154.06
10042B660,10154.4
10042B660,10154.4
10042B660,10154.4
10042B660,10155.51
10042B660,10156494.81
10042B660,10156494.81
10042B660,10156494.81
10042B660,10156494.81
10042B660,10156494.81
10042B660,1015657.61
10042B660,10157.12
10042B660,10157.54
10042B660,10157.54
10042B660,10157.54
10042B660,10157.54
10042B660,10157.54
10042B660,10163.29
10042B660,10165.39
10042B660,10165.39
10042B660,10165.39
10042B660,10165.39
10042B660,10165.39
10042B660,10171.14
10042B660,10182.22
10042B660,10191.37
10042B660,10191.37
10042B660,10191.37
10042B660,10199.18
10042B660,10199.18
10042B660,10199.18
10042B660,10199.18
10042B660,10199.18
10042B660,1020297.9
10042B660,1020297.9
10042B660,1020297.9
10042B660,1020533.75
10042B660,10206881.34
10042B660,10206881.34
10042B660,10206881.34
10042B660,10206881.34
10042B660,10206881.34
10042B660,10207.67
10042B660,10207.67
10042B660,10207.67
10042B660,10209.84
10042B660,10209.84
10042B660,10209.84
10042B660,10209.84
10042B660,10209.84
10042B660,10211.41
10042B660,10219.01
10042B660,10219.01
10042B660,10219.01
10042B660,1022793.67
10042B660,1022793.67
10042B660,1022793.67
10042B660,10229.41
10042B660,10232386.79
10042B660,10237.73
10042B660,10237.73
10042B660,10237.73
10042B660,10237.77
10042B660,10241.12
10042B660,10241.12
10042B660,10241.12
10042B660,10245.83
10042B660,10245204.43
10042B660,1024576.55
10042B660,10246.83
10042B660,10249208.96
10042B660,10255.77
10042B660,10256.41
10042B660,10256.41
10042B660,10256.41
10042B660,1025658.36
10042B660,10259.52
10042B660,10267.9
10042B660,10267.9
10042B660,10267.9
10042B660,10267.9
10042B660,10267.9
10042B660,1026735.89
10042B660,1026735.89
10042B660,1026735.89
10042B660,1026735.89
10042B660,1026735.89
10042B660,10273923.18
10042B660,1027595.19
10042B660,1027595.19
10042B660,1027595.19
10042B660,10276.77
10042B660,10278.24
10042B660,10279.35
10042B660,10289.7
10042B660,10289.7
10042B660,10289.7
10042B660,10292.0
10042B660,1029359.98
10042B660,1029359.98
10042B660,1029359.98
10042B660,10298.07
10042B660,10298.07
10042B660,10298.07
10042B660,10298.07
10042B660,10298.07
10042B660,10299.65
10042B660,103011483.23
10042B660,10302.15
10042B660,10302.15
10042B660,10302.15
10042B660,1031170.75
10042B660,1031660.13
10042B660,10323.02
10042B660,10328.8
10042B660,10330.03
10042B660,10330.08
10042B660,10332447.11
10042B660,10338.4
10042B660,10338.4
10042B660,10338.4
10042B660,10338.68
10042B660,10343.98
10042B660,10349.12
10042B660,10358.06
10042B660,10359.63
10042B660,10360.22
10042B660,10362.79
10042B660,10373.88
10042B660,10376.85
10042B660,1037793.91
10042B660,1037793.91
10042B660,1037793.91
10042B660,1037793.91
10042B660,1037793.91
10042B660,10381.12
10042B660,10381.12
10042B660,10381.12
10042B660,10381.12
10042B660,10381.12
10042B660,1038669.23
10042B660,1038820.28
10042B660,1038820.28
10042B660,1038820.28
10042B660,1038820.28
10042B660,1038820.28
10042B660,10391.6
